station_code,construction_id,station_name_tw,station_name_en,line_code,line_name,address,lat,lon,geohash
BR20,B7,大湖公園,Dahu Park,BR,文湖線,台北市內湖區成功路五段11號,25.083845,121.602141,wsqqxn7gzr85
BR21,B8,葫洲,Huzhou,BR,文湖線,台北市內湖區康寧路三段16號,25.072701,121.607158,wsqqxhreh4jp
BR22,B9,東湖,Donghu,BR,文湖線,台北市內湖區康寧路三段235號,25.067147,121.611445,wsqqx76f8ncu
BR23,B10,南港軟體園區,Nangang Software Park,BR,文湖線,台北市南港區經貿二路183號,25.059905,121.615953,wsqqx6n090gh
BR24,B11,南港展覽館,Taipei Nangang Exhibition Center,BR,文湖線,台北市南港區南港路一段32號,25.055288,121.6175001,wsqqx3pjthhy
R02,R5,象山,Xiangshan,R,淡水信義線,台北市信義區信義路五段152號B1,25.03283,121.569576,wsqqqmh6b3wp
R03,R6,台北101/世貿,Taipei 101/World Trade Center,R,淡水信義線,台北市信義區信義路五段20號B1,25.033102,121.563292,wsqqqjpsqh2q
R04,R7,信義安和,Xinyi Anhe,R,淡水信義線,台北市大安區信義路四段212之1號B1,25.033326,121.553526,wsqqqj0tdqnq
R05,R8,大安,Daan,R,淡水信義線,台北市大安區信義路四段2號,25.032943,121.543551,wsqqmv176nb3
R06,R9,大安森林公園,Daan Park,R,淡水信義線,台北市大安區信義路三段100號B1,25.033396,121.534882,wsqqmt5n050r
R07,R10,東門,Dongmen,R,淡水信義線,台北市大安區信義路二段166號B1,25.033847,121.528739,wsqqmmq88z7f
R08,R11,中正紀念堂,Chiang Kai-Shek Memorial Hall,R,淡水信義線,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827,wsqqmjnfhyvk
R09,R12,台大醫院,NTU Hospital,R,淡水信義線,台北市中正區公園路52號B1,25.041256,121.51604,wsqqmnt7buqw
R10,R13,台北車站,Taipei Main Station,R,淡水信義線,台北市中正區忠孝西路一段49號,25.046255,121.517532,wsqqmpw358r4
R11,R14,中山,Zhongshan,R,淡水信義線,台北市中山區南京西路16號,25.052685,121.520392,wsqqt28qqqgz
R12,R15,雙連,Shuanglian,R,淡水信義線,台北市大同區民生西路47號,25.057805,121.520627,wsqqt38s7c7j
R13,R16,民權西路,Minquan W. Rd.,R,淡水信義線,台北市大同區民權西路72號,25.062905,121.51932,wsqqt4xdj2h7
R14,R17,圓山,Yuanshan,R,淡水信義線,台北市大同區酒泉街9之1號,25.071353,121.520118,wsqqtk05pyzq
R15,R18A,劍潭,Jiantan,R,淡水信義線,台北市士林區中山北路五段65號,25.084873,121.525078,wsqqtqecgx3b
R16,R20,士林,Shilin,R,淡水信義線,台北市士林區福德路1號,25.093535,121.52623,wsqqv2hsqmuy
R17,R21,芝山,Zhishan,R,淡水信義線,台北市士林區福國路70號,25.10306,121.522514,wsqqv3cgzvd1
R18,R22,明德,Mingde,R,淡水信義線,台北市北投區明德路95號,25.109721,121.518848,wsqqv5p6drk2
